"Name","RAJ2000","DEJ2000","Rc","e_Rc","Type","Nm","pmRA*","pmDE"
"Berkeley 61",12.125,67.2,2.85,0.15,"A",96,-2.307,0.126
"IC 1590",13.20417,56.62833,4.3,0.2,"A",185,-2.605,-1.465
"Czernik 3",15.775,62.78333,2.25,0.15,"A",113,-0.044,-0.789
"NGC 366",16.60833,62.23,4.15,0.15,"A",185,-2.182,-0.478
"FSR 0534",19.35833,61.3,3.2,0.6,"B",101,-0.364,-0.432
"SAI 14",21.5,62.62583,3.1,0.7,"A",86,-1.865,-1.222
"NGC 559",22.38333,63.30389,10.45,1.75,"A",846,-4.17,0.139
"IC 166",28.125,61.83333,6.85,1.35,"A",1230,-1.438,1.147
"Czernik 5",28.92917,61.35583,2.9,0.1,"B",117,-1.99,0.401
"NGC 744",29.6375,55.47333,4.15,1.35,"B",77,-1.735,-1.431
"Czernik 6",30.5,62.83333,2.9,0.4,"B",53,-1.231,-0.227
"Basel 10",34.86667,58.3,3.5,0.1,"B",134,-0.512,-0.949
"Majaess 29",37.02917,72.62639,5.5,0.5,"B",46,-1.374,-1.594
"Czernik 10",38.475,60.16667,2.7,0.2,"A",101,-1.125,0.087
"NGC 1193",46.48333,44.38333,4.15,0.15,"B",336,-0.023,-0.398
"King 5",48.6875,52.68667,10.0,2.0,"B",465,-0.292,-1.13
"Czernik 16",52.7,52.65,5.75,0.25,"A",77,0.794,-1.889
"Berkeley 9",53.1625,52.65389,7.05,2.65,"A",207,1.409,-0.101
"NGC 1348",53.525,51.40833,5.65,1.95,"B",126,1.481,-0.84
"Berkeley 10",54.88333,66.48583,8.6,1.9,"A",257,-1.545,1.057
"Tombaugh 5",56.95,59.05,16.5,0.5,"A",519,0.453,-2.401
"NGC 1444",57.35417,52.65833,3.3,0.2,"B",44,-0.695,-1.953
"FSR 0647",59.79583,57.22694,3.7,0.1,"B",89,-0.014,0.646
"Alicante 1",59.825,57.23722,2.3,0.1,"B",73,-0.183,0.607
"NGC 1496",61.13333,52.66167,3.65,0.55,"A",65,1.52,-0.723
"NGC 1502",61.95833,62.33167,7.35,1.15,"A",259,-0.564,-0.742
"NGC 1513",62.4875,49.515,11.0,0.5,"B",359,1.487,-3.483
"NGC 1528",63.84583,51.215,12.0,5.0,"B",204,2.227,-2.174
"IC 361",64.75,58.3,8.4,1.4,"A",747,1.648,-1.184
"Berkeley 11",65.15,44.91667,5.5,1.4,"B",150,0.758,-1.873
"Czernik 18",67.0,30.93333,5.95,0.45,"B",63,2.006,-2.813
"Berkeley 67",69.525,50.75,8.1,0.5,"A",185,2.223,-1.473
"NGC 1624",70.15,50.46167,2.15,0.15,"A",63,0.162,-0.39
"Berkeley 68",71.125,42.06667,10.6,0.6,"A",211,2.19,-1.281
"Ruprecht 148",71.625,44.73333,4.0,0.2,"B",68,-0.273,-1.098
"Berkeley 13",73.96667,52.8,5.95,1.65,"B",222,-0.336,0.488
"Czernik 19",74.2875,28.77972,8.5,2.3,"A",193,1.223,-2.262
"NGC 1750",75.97917,23.65833,9.5,5.5,"B",149,-0.771,-2.376
"NGC 1758",76.14583,23.79833,14.15,0.45,"B",210,3.13,-3.365
"NGC 1778",77.01667,37.02333,9.25,2.25,"B",187,0.592,-3.123
"Teutsch 132",77.50417,38.82528,4.35,0.25,"A",52,0.304,-1.619
"FSR 0716",77.79167,45.71278,4.0,1.2,"A",130,-0.268,-1.623
"Berkeley 17",80.15,30.6,6.85,1.95,"A",426,2.682,-0.401
"SAI 47",80.99167,42.31444,2.35,0.15,"B",70,0.201,-0.1
"Czernik 21",81.67083,36.01361,4.6,0.3,"A",203,2.449,-0.915
"NGC 1907",82.02083,35.325,7.85,0.35,"B",293,-0.036,-3.387
"NGC 1912",82.16667,35.84833,22.5,2.5,"B",669,1.66,-4.372
"Teutsch 52",82.575,38.23139,5.75,1.35,"B",130,0.266,-0.41
"NGC 1931",82.85417,34.245,6.5,0.5,"A",124,0.384,-1.813
"NGC 1960",84.075,34.14,6.7,1.9,"B",229,-0.02,-3.339
"Koposov 36",84.2125,31.21083,8.2,3.8,"B",167,0.809,-3.737
"Koposov 27",84.875,33.35,4.5,0.3,"B",148,0.721,-1.041
"Berkeley 71",85.22917,32.27778,5.0,0.6,"A",284,0.549,-1.554
"Teutsch 2",85.34167,39.23639,4.55,0.55,"B",110,0.723,-1.584
"FSR 0826",85.71667,28.94139,6.2,0.5,"B",44,-0.681,-1.557
"Collinder 74",87.16667,7.35833,6.2,1.4,"B",154,1.014,-1.662
"Czernik 23",87.51667,28.89472,5.3,0.7,"B",154,-0.164,-1.896
"NGC 2099",88.075,32.55333,22.5,2.5,"B",1858,2.1,-5.507
"FSR 0852",88.39583,25.18111,6.65,1.15,"B",168,0.371,-1.875
"Teutsch 51",88.46667,26.82972,4.55,1.15,"B",170,0.504,-0.399
"Czernik 24",88.85417,20.88639,4.55,0.85,"A",146,0.353,-2.589
"Basel 11b",89.55,21.96667,5.55,1.35,"B",109,0.998,-4.203
"Koposov 12",90.23333,35.27667,6.65,1.35,"A",153,0.748,-1.67
"NGC 2129",90.27917,23.32222,4.6,0.5,"B",504,-0.028,-1.619
"FSR 0942",91.49583,13.66444,7.0,2.3,"A",183,-0.408,0.021
"NGC 2158",91.85417,24.09667,7.95,0.25,"A",1879,-0.257,-1.99
"Dias 2",92.29583,4.59306,4.5,1.5,"B",41,-0.793,1.184
"Koposov 63",92.50833,24.56056,3.95,0.25,"A",62,0.564,-0.514
"NGC 2186",93.03333,5.45361,4.05,1.55,"B",130,0.527,-2.038
"Skiff J0614+12.9",93.69583,12.87083,3.4,0.4,"A",77,1.022,-1.778
"FSR 0953",94.75833,14.14806,4.8,1.9,"B",107,0.059,-2.542
"FSR 0941",95.44583,15.73972,6.5,2.5,"A",42,0.788,0.183
"Teutsch 12",96.41667,13.59833,3.75,0.35,"A",94,-0.889,-0.862
"FSR 0948",96.47083,15.86083,3.3,0.2,"A",64,-0.197,0.024
"Alessi 53",97.35,9.18028,3.25,0.75,"B",87,0.462,-0.368
"NGC 2236",97.4125,6.83,11.35,0.65,"B",636,-0.654,-0.048
"NGC 2239",97.7375,4.96917,3.85,0.95,"B",60,-1.614,-0.338
"FSR 0979",97.825,11.08083,3.0,0.1,"B",92,0.173,-2.399
"Juchert 18",97.86667,6.80333,2.85,0.15,"B",55,-0.072,-0.189
"FSR 1063",98.65833,-0.26694,3.45,0.25,"B",51,0.169,-1.538
"NGC 2254",98.95417,7.67333,6.4,2.3,"B",332,-0.065,-0.936
"Ruprecht 1",99.0875,-14.14694,7.5,3.5,"B",100,-0.262,-1.023
"vdBergh 1",99.25,3.06667,5.95,0.45,"B",75,0.6,-0.78
"Berkeley 24",99.44583,-0.87194,5.2,2.3,"B",336,0.44,1.392
